StockCode,YearEnd,Firm age,Number of employees,Managerial/Inside ownership,State ownership,Institutional ownership,Foreign ownership,Total share outstanding,Market value of equity,Dividend payment,EPS,Net sales revenue,Total assets,Selling expenses,General and administrative expenditure,Value of intangible assets,Manufacturing overhead (Indirect cost),Net operating income,Consumption of raw material,Merchandise purchase of the year,Work-in-progress goods purchase,Outside manufacturing expenses,Production cost,R&D,Net income,Total shareholders equity,Total liabilities,Cash and cash equivalents,Long-term debt,Current assets,Current liabilities,Growth ratio,Total inventory,"Net plant, property and equipment",Product innovation,Process innovation,Net cash from operating activities,Capital expenditure,Cash flows from investing activities
CII,2020,20,70,0.283109,0.084929,NaN,0.315526,283168152,4.69493E+12,4.14785E+11,1000,5.37409E+12,2.9547E+13,1.57032E+11,5.32996E+11,3.2302E+12,4.22939E+12,6.05685E+11,NaN,2.97384E+12,37519534038,NaN,NaN,NaN,4.72024E+11,7.78561E+12,2.17614E+13,4.38748E+11,1.32753E+13,1.09572E+13,8.29311E+12,-0.0955,4.68555E+12,2.18522E+12,0,0,-1.39392E+12,3.91449E+11,-7.2019E+11
CII,2021,21,31,0.176207,0.084888,NaN,0.104378,283304771,1.01876E+13,16583485656,-1392,2.86003E+12,3.08702E+13,62945222581,4.94237E+11,7.30654E+12,2.03606E+12,-74491318984,NaN,3.44189E+12,46349353207,NaN,NaN,NaN,-2.42076E+11,8.37878E+12,2.24914E+13,6.89232E+11,1.31782E+13,1.04975E+13,9.15874E+12,-1.5128,4.54936E+12,2.10741E+12,0,0,-8.81657E+11,4.36237E+11,7.37E+11
CII,2022,22,35,0.026153,0.084675,0.177506,0.091143,284019513,2.8402E+12,1389991454,2648,5.74799E+12,2.85595E+13,76865705532,4.61976E+11,6.80754E+12,4.40402E+12,1.04396E+12,NaN,1.47154E+12,17900716058,NaN,NaN,NaN,8.60548E+11,8.30101E+12,2.02585E+13,2.75743E+11,9.41587E+12,7.22674E+12,9.57047E+12,-4.5549,1.61688E+12,1.71694E+12,0,0,9.73024E+11,2.51345E+11,-22305298181
CII,2023,23,35,0.000299,0.07554,0.115685,0.057748,318364813,4.34886E+12,2.38831E+11,583,3.08971E+12,3.31841E+13,79931706748,4.68374E+11,1.63749E+13,1.93464E+12,4.50884E+11,NaN,9.06814E+11,0,NaN,NaN,NaN,3.69952E+11,8.50533E+12,2.46788E+13,1.20071E+12,1.40376E+13,6.91076E+12,8.14417E+12,-0.5701,5.81772E+11,25381438029,0,0,-1.14079E+12,4.76865E+11,3.74422E+11
CII,2024,24,45,0.000168,0.075212,0.09614,0.052155,319752413,3.82424E+12,5.07415E+11,723,3.02774E+12,3.66714E+13,83761287417,5.43236E+11,1.58832E+13,1.36354E+12,6.40134E+11,NaN,3.06924E+12,18637915504,NaN,NaN,NaN,6.18285E+11,9.12439E+12,2.7547E+13,1.35181E+12,1.54342E+13,8.54917E+12,8.96134E+12,0.6713,2.29447E+12,3.80122E+11,0,0,4.72335E+11,4.11293E+11,-2.05828E+12
GMD,2020,30,1501,0.0235,0,0.51,0.49,301377957,7.27225E+12,3.53473E+11,1231,2.60567E+12,9.83454E+12,1.37356E+11,3.41474E+11,2.65287E+11,1.65608E+12,4.96178E+11,2.36268E+11,1.65067E+12,0,9.55802E+11,2.13491E+12,NaN,4.40476E+11,6.59493E+12,3.23961E+12,4.27676E+11,1.13774E+12,1.3564E+12,1.74521E+12,-0.0141,72966607779,2.76086E+12,1,1,6.55364E+11,2.15701E+11,73081956314
GMD,2021,31,1535,0.0186,0,0.5834,0.4166,301377957,1.08195E+13,4.26189E+11,2031,3.20629E+12,1.07312E+13,1.54146E+11,2.94785E+11,2.61733E+11,2.06449E+12,8.61467E+11,2.24311E+11,2.06024E+12,0,1.26385E+12,2.51342E+12,NaN,7.20562E+11,7.04462E+12,3.68659E+12,6.37349E+11,1.06124E+12,1.68948E+12,2.26272E+12,0.230507,68712818949,2.8057E+12,1,1,9.64817E+11,5.86166E+11,3.56309E+11
GMD,2022,32,1549,0.0183,0,0.5265,0.4735,301377957,1.06447E+13,4.28119E+11,3298,3.89824E+12,1.30307E+13,1.42172E+11,5.24441E+11,2.616E+11,2.18018E+12,1.30885E+12,3.23312E+11,2.194E+12,0,1.33381E+12,2.8468E+12,NaN,1.16129E+12,7.94776E+12,5.0829E+12,1.36435E+12,1.48616E+12,2.61873E+12,3.21058E+12,0.215811,82532452635,2.95602E+12,1,1,2.29924E+12,1.36569E+12,1.23475E+12
GMD,2023,33,1498,0.0197,0,0.5211,0.4789,305898557,1.73016E+13,7.80371E+11,7357,3.84583E+12,1.3546E+13,1.09543E+11,5.51943E+11,2.5839E+11,2.06781E+12,3.17703E+12,2.91525E+11,2.05345E+12,0,1.31426E+12,2.7293E+12,NaN,2.53393E+12,9.73237E+12,3.81365E+12,1.47168E+12,1.51839E+12,3.3802E+12,1.91534E+12,-0.013446,68169766561,3.89123E+12,1,1,-2870318244,1.17722E+12,9.15396E+11
GMD,2024,34,1544,0.0208,0,0.5458,0.4542,413982609,2.61223E+13,9.16107E+11,3516,4.83202E+12,1.79979E+13,2.472E+11,5.74838E+11,2.47081E+11,2.69654E+12,2.41858E+12,3.3223E+11,2.71179E+12,0,1.78864E+12,3.51858E+12,NaN,1.92358E+12,1.37719E+13,4.22593E+12,3.96432E+12,1.74534E+12,6.67357E+12,2.10076E+12,0.256433,83419825055,3.78607E+12,1,1,1.52682E+12,1.47993E+12,1.37572E+12
HAH,2020,11,497,0.212088,0,0.2829,0.1419,47392798,2.55447E+11,47275936600,2918,1.19167E+12,2.09455E+12,0,67886331138,2617588857,9.52285E+11,1.69752E+11,3.03091E+11,9.44787E+11,0,3.56054E+11,9.52285E+11,NaN,1.46598E+11,1.3358E+12,7.58755E+11,2.21024E+11,4.38392E+11,6.94952E+11,3.20362E+11,0.0746,45700049216,1.09846E+12,1,1,2.76894E+11,3.48964E+11,3.83447E+11
